# Project GenCode Backend - Function Analysis

Total Functions: 795

## Module: `agents\sub_agents.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
## Module: `core\config.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 129 | `Settings.ensure_directories` | Ensure required directories exist. | 0 | - |

## Module: `core\exceptions.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 10 | `GenCodeError.__init__` | No description available | 0 | - |
| 23 | `QualityGateError.__init__` | No description available | 0 | - |
| 35 | `AgentError.__init__` | No description available | 0 | - |
| 46 | `LLMError.__init__` | No description available | 0 | - |
| 56 | `RateLimitError.__init__` | No description available | 0 | - |
| 67 | `SandboxError.__init__` | No description available | 0 | - |
| 77 | `PersistenceError.__init__` | No description available | 0 | - |

## Module: `core\failure_boundary.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 33 | `FailureBoundary.enforce` | Decorator that catches all failures and classifies them. | 0 | - |
| 127 | `LegacyStepResultConverter.convert` | Convert legacy StepResult to new StepExecutionResult. | 0 | - |

## Module: `core\integration.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 55 | `IntegrationManager.__init__` | Initialize integration manager for a project | 0 | - |
| 60 | `IntegrationManager._load_config` | Load configuration from environment and defaults | 1 | core\integration.py |
| 73 | `IntegrationManager.is_feature_enabled` | Check if a specific feature is enabled. | 6 | core\integration.py |
| 87 | `IntegrationManager.get_memory_db_path` | No description available | 1 | core\integration.py |
| 90 | `IntegrationManager.get_max_workflow_turns` | No description available | 1 | core\integration.py |
| 93 | `IntegrationManager.get_max_test_retries` | No description available | 1 | core\integration.py |
| 96 | `IntegrationManager.validate_api_keys` | Validate that required API keys are configured. | 1 | core\integration.py |
| 117 | `IntegrationManager.get_config_summary` | Get summary of current configuration. | 1 | core\integration.py |
| 139 | `create_integration_manager` | No description available | 0 | - |
| 143 | `validate_environment` | Validate that the environment is properly configured. | 0 | - |

## Module: `core\logging.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 5 | `log` | Unified logging function for GenCode Studio. | 752 | agents\sub_agents.py, api\projects.py (+49 more) |
| 29 | `log_section` | Log a section header with visual separator. | 2 | supervision\supervisor.py |
| 43 | `log_thinking` | Log agent thinking/reasoning with proper formatting. | 0 | - |
| 61 | `log_files` | Log file list summary. | 2 | agents\sub_agents.py, supervision\supervisor.py |
| 80 | `log_result` | Log review result with quality score. | 1 | supervision\supervisor.py |

## Module: `core\step_outcome.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 34 | `StepExecutionResult.is_successful` | Only SUCCESS counts as success. | 0 | - |
| 38 | `StepExecutionResult.requires_healing` | Only COGNITIVE_FAILURE triggers healing. | 0 | - |
| 42 | `StepExecutionResult.is_dead_branch` | Isolated steps are dead branches. | 0 | - |
| 46 | `StepExecutionResult.is_hard_failure` | HARD_FAILURE is a global truth (ignores isolation). | 0 | - |

## Module: `core\types.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 26 | `GeneratedFile.to_dict` | No description available | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 39 | `AgentOutput.to_dict` | No description available | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 81 | `TokenUsage.total` | No description available | 0 | - |
| 85 | `TokenUsage.estimated_cost` | Estimate cost based on Gemini pricing. | 0 | - |

## Module: `db\__init__.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 14 | `connect_db` | Connect to MongoDB. | 0 | - |
| 60 | `disconnect_db` | Disconnect from MongoDB. | 0 | - |
| 68 | `get_db` | Get database instance. | 0 | - |
| 78 | `is_connected` | Check if database is connected. | 0 | - |
| 83 | `get_connection_error` | Get connection error message if connection failed. | 0 | - |
| 88 | `get_collection` | Get a collection by name. | 0 | - |

## Module: `handlers\analysis.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 30 | `_detect_primary_entity` | Detect primary entity from user request. | 2 | handlers\analysis.py |
| 43 | `step_analysis` | Step 1: Marcus analyzes the user request. | 0 | - |

## Module: `handlers\archetype_guidance.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 500 | `get_archetype_guidance` | Get UI guidance for a specific archetype. | 1 | handlers\archetype_guidance.py |
| 528 | `get_archetype_pages` | Get additional pages recommended for this archetype. | 1 | handlers\archetype_guidance.py |
| 534 | `get_archetype_components` | Get key components recommended for this archetype. | 1 | handlers\archetype_guidance.py |
| 540 | `get_full_archetype_context` | Get complete archetype context for frontend mock generation. | 2 | handlers\archetype_guidance.py, handlers\frontend_mock.py |
| 946 | `get_backend_archetype_guidance` | Get backend API guidance for a specific archetype. | 1 | handlers\archetype_guidance.py |
| 987 | `get_full_backend_context` | Get complete archetype context for backend implementation. | 2 | handlers\archetype_guidance.py, handlers\backend.py |
| 1219 | `get_architecture_archetype_guidance` | Get architecture guidance for a specific archetype. | 2 | handlers\archetype_guidance.py, handlers\architecture.py |
| 1267 | `get_archetype_patterns_from_store` | Retrieve learned patterns from PatternStore for this archetype. | 3 | handlers\archetype_guidance.py, handlers\backend.py (+1 more) |
| 1321 | `get_enhanced_prompt_context` | Get complete enhanced context for any step. | 0 | - |
| 1774 | `get_e2e_testing_guidance` | Get E2E testing guidance for a specific archetype. | 2 | handlers\archetype_guidance.py, handlers\testing_frontend.py |

## Module: `handlers\architecture.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 33 | `step_architecture` | Step 2: Victoria creates architecture plan with Marcus supervision. | 0 | - |

## Module: `handlers\backend.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 43 | `ensure_workspace_app_package` | Ensure the generated backend's `app` directory is a proper package: | 1 | handlers\backend.py |
| 61 | `step_backend_implementation` | Step 6: Backend Implementation (Models + Routers). | 0 | - |
| 105 | `_step_backend_multi_entity` | Multi-entity backend implementation. | 1 | handlers\backend.py |
| 287 | `_step_backend_single_entity` | Single-entity atomic backend implementation (LEGACY MODE). | 1 | handlers\backend.py |
| 568 | `_build_single_router_prompt` | Build prompt for generating a single entity's router. | 1 | handlers\backend.py |
| 690 | `_extract_entity_contract` | Extract the entity-specific section from contracts.md. | 1 | handlers\backend.py |
| 741 | `step_system_integration` | Step 7: System Integration (Script). | 0 | - |

## Module: `handlers\backend_models.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 26 | `step_backend_models` | Step: Backend Models - Generate all models at once. | 1 | handlers\backend.py |
| 166 | `derek_generate_model_spec` | Derek generates model specifications as JSON (not Python code). | 1 | handlers\backend_models.py |
| 341 | `merge_model_specs_to_python` | Convert JSON model spec to Python SQLModel/Pydantic code. | 1 | handlers\backend_models.py |

## Module: `handlers\base.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 12 | `_get_broadcast_to_project` | Lazy import to avoid circular dependency with app.workflow package. | 2 | handlers\base.py |
| 21 | `broadcast_status` | Broadcast workflow status update. | 13 | handlers\analysis.py, handlers\architecture.py (+10 more) |
| 47 | `broadcast_agent_log` | Broadcast an agent log/thinking message. | 16 | handlers\analysis.py, handlers\backend.py (+5 more) |

## Module: `handlers\contracts.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 42 | `step_contracts` | Step 5: Marcus creates API contracts AFTER the frontend mock is built. | 0 | - |
| 451 | `_parse_marcus_classification` | Parse Marcus's entity classification section from contracts.md. | 1 | handlers\contracts.py |
| 485 | `_calculate_classification_confidence` | Calculate how accurate Marcus was compared to code-based classification. | 1 | handlers\contracts.py |
| 542 | `_generate_entity_plan_from_contracts` | Auto-generate entity_plan.json by parsing contracts.md. | 1 | handlers\contracts.py |
| 761 | `_remove_embedded_from_contracts` | FIX #4: Remove endpoint sections for EMBEDDED entities from contracts.md. | 1 | handlers\contracts.py |

## Module: `handlers\frontend_integration.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 42 | `cleanup_unused_components` | Remove unused Shadcn UI components to reduce bloat. | 1 | handlers\frontend_integration.py |
| 125 | `step_frontend_integration` | Step 9: Derek replaces mock data with real API calls. | 0 | - |

## Module: `handlers\frontend_mock.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 44 | `step_frontend_mock` | Step 3: Derek generates frontend with MOCK DATA first. | 0 | - |

## Module: `handlers\preview.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 25 | `step_preview_final` | Step 11: Refresh preview on RANDOM free ports for both frontend and backend. | 0 | - |

## Module: `handlers\refine.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 30 | `step_refine` | Refine Mode - Conversational Iteration (post-workflow). | 0 | - |

## Module: `handlers\screenshot_verify.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 28 | `step_screenshot_verify` | Step 4: Visual QA after frontend mock is created. | 0 | - |

## Module: `handlers\testing_backend.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 62 | `render_contract_tests` | Render the template deterministically. | 1 | handlers\testing_backend.py |
| 99 | `_generate_tests_from_template` | Generate backend tests from template at the START of testing step. | 1 | handlers\testing_backend.py |
| 231 | `_fallback_generate_tests` | Fallback test generation when Derek fails (Option B supplement). | 1 | handlers\testing_backend.py |
| 274 | `step_testing_backend` | MASTER LOOP: Derek tests backend using sandbox with healing. | 0 | - |

## Module: `handlers\testing_frontend.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 44 | `ensure_str` | Ensure value is a string (sandboxexec may return bytes). | 6 | handlers\testing_frontend.py |
| 53 | `_generate_frontend_tests_from_template` | Generate frontend E2E tests from template at the START of testing step. | 1 | handlers\testing_frontend.py |
| 210 | `_fallback_generate_frontend_tests` | Fallback test generation when Luna fails. | 1 | handlers\testing_frontend.py |
| 268 | `step_testing_frontend` | Step 11: Luna tests frontend with Playwright and Self-Healing. | 0 | - |

## Module: `learning\failure_store.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 43 | `FailureStore.__init__` | No description available | 0 | - |
| 49 | `FailureStore._init_db` | Initialize the SQLite database. | 4 | learning\failure_store.py, learning\pattern_store.py (+2 more) |
| 78 | `FailureStore.record_failure` | Record a failure. If a similar failure exists, increment its count. | 5 | agents\sub_agents.py, arbormind\evolution.py (+1 more) |
| 133 | `FailureStore.retrieve_relevant_failures` | Get similar failures to warn the agent before they start. | 3 | arbormind\evolution.py, learning\failure_store.py |
| 174 | `FailureStore.get_anti_pattern_context` | Generate a 'KNOWN PITFALLS' string for the system prompt. | 1 | llm\prompt_management.py |
| 202 | `get_failure_store` | No description available | 7 | agents\sub_agents.py, arbormind\evolution.py (+2 more) |

## Module: `learning\pattern_store.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 53 | `PatternStore.__init__` | No description available | 0 | - |
| 59 | `PatternStore._init_db` | Initialize the SQLite database. | 4 | learning\failure_store.py, learning\pattern_store.py (+2 more) |
| 86 | `PatternStore.store_success` | Store a successful pattern for future reference. | 2 | arbormind\evolution.py, learning\pattern_store.py |
| 184 | `PatternStore.retrieve_patterns` | Retrieve successful patterns for a given archetype and step. | 3 | arbormind\evolution.py, handlers\archetype_guidance.py (+1 more) |
| 238 | `PatternStore.get_prompt_enhancement` | Get a prompt enhancement based on learned patterns. | 1 | learning\pattern_store.py |
| 283 | `PatternStore.get_stats` | Get learning statistics. | 1 | arbormind\evolution.py |
| 308 | `PatternStore._generate_pattern_id` | Generate a unique pattern ID. | 2 | learning\pattern_store.py |
| 313 | `PatternStore._extract_imports` | Extract import statements from code. | 1 | learning\pattern_store.py |
| 332 | `PatternStore.penalize_pattern` | Retroactively penalize a pattern if it led to a failure later. | 1 | agents\sub_agents.py |
| 390 | `get_pattern_store` | Get the global pattern store instance. | 7 | agents\sub_agents.py, arbormind\evolution.py (+2 more) |
| 405 | `learn_from_success` | Convenience function to store successful patterns. | 0 | - |
| 418 | `get_learned_enhancement` | Get prompt enhancement from learned patterns. | 0 | - |

## Module: `learning\v_vector_store.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 67 | `VVectorStore.__init__` | No description available | 0 | - |
| 73 | `VVectorStore._init_db` | Initialize the SQLite database. | 4 | learning\failure_store.py, learning\pattern_store.py (+2 more) |
| 123 | `VVectorStore.record_decision` | Record a routing decision for future learning. | 0 | - |
| 180 | `VVectorStore.record_outcome` | Record the outcome of a routing decision. | 0 | - |
| 220 | `VVectorStore._update_evolved_vector` | Update the evolved V-vector based on the new outcome. | 1 | learning\v_vector_store.py |
| 313 | `VVectorStore.get_evolved_vector` | Get the evolved V-vector for a specific context. | 1 | learning\v_vector_store.py |
| 358 | `VVectorStore.get_adjustment_for_options` | Adjust a list of options based on learned V-vectors. | 0 | - |
| 426 | `VVectorStore.get_learning_stats` | Get statistics about the learning system. | 1 | arbormind\evolution.py |
| 463 | `VVectorStore.get_anti_patterns_for_context` | Get configurations that consistently failed for a context. | 2 | arbormind\evolution.py, arbormind\explorer.py |
| 502 | `VVectorStore._seed_evolved_vector` | Directly seed an evolved V-vector (for pre-training from GitHub). | 0 | - |
| 602 | `VVectorStore.search_patterns` | Search for successful patterns in foreign archetypes. | 1 | arbormind\explorer.py |
| 666 | `get_v_vector_store` | Get the global V-vector store instance. | 5 | arbormind\evolution.py, arbormind\explorer.py (+1 more) |
| 675 | `record_routing_decision` | Convenience function to record a routing decision. | 1 | arbormind\evolution.py |
| 690 | `record_decision_outcome` | Convenience function to record outcome. | 1 | arbormind\evolution.py |
| 702 | `get_evolved_options` | Convenience function to get evolved options. | 1 | arbormind\evolution.py |

## Module: `lib\monitoring.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 18 | `set_active_preview_servers` | Sets the value of the active preview servers gauge. | 0 | - |
| 22 | `register_monitoring` | Registers Prometheus monitoring on the FastAPI app. | 1 | main.py |

## Module: `lib\secrets.py`

